Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12,Content
0,1,0,2,1,2,1,3,2,2,1,1,0,0,3,1,5
2,1,0,2,0,2,1,1,3,3,3,2,1,2,2,1,5
3,1,0,0,0,3,0,0,0,0,2,3,2,2,0,2,6
3,1,0,0,0,3,1,0,0,1,1,3,2,3,0,2,6
1,2,0,3,2,1,0,3,0,2,2,0,3,3,3,0,4
2,1,2,2,1,3,1,3,3,1,1,3,2,0,3,1,5
0,1,2,2,2,3,0,1,3,2,3,2,1,2,1,1,5
0,1,0,2,0,0,2,2,2,1,3,1,0,2,0,2,6
0,1,0,2,0,2,2,1,3,3,2,3,0,2,3,2,6
1,1,0,0,0,0,3,1,3,1,1,2,2,1,2,0,4
3,1,2,2,0,2,0,3,2,0,0,3,2,2,3,2,6
0,1,2,2,0,0,0,2,3,3,3,3,1,1,3,2,6
0,1,0,2,1,2,0,1,2,2,0,2,0,2,1,1,5
3,1,2,0,0,0,0,2,2,1,3,3,3,1,0,2,6
3,1,2,2,0,3,3,1,0,2,1,1,2,2,3,2,6
0,1,0,0,0,3,0,1,3,2,2,2,1,1,1,0,4
1,1,0,3,0,2,3,3,2,3,1,0,2,3,0,2,6
0,1,0,2,0,3,3,2,3,1,0,3,0,3,2,1,5
0,1,0,2,3,0,2,2,0,3,3,3,0,3,0,2,6
2,1,0,0,0,3,0,1,3,2,2,0,2,1,2,0,4
0,1,0,2,0,0,3,1,1,2,0,2,0,1,1,1,5
0,1,3,2,0,3,2,3,2,2,3,2,1,3,2,1,5
3,1,0,2,1,1,2,1,3,2,3,3,1,3,2,1,5
1,2,3,2,0,2,0,2,2,3,3,1,3,2,0,2,6
1,1,0,2,0,0,0,1,3,2,1,3,1,0,2,2,6
0,1,0,0,0,2,0,0,3,2,3,2,1,2,1,1,5
0,1,0,2,0,3,3,2,3,1,0,3,0,3,2,1,5
0,1,0,2,0,0,1,1,3,2,0,3,0,1,1,1,5
0,1,0,0,0,0,0,3,1,2,2,3,1,1,3,2,6
0,1,0,2,0,3,0,1,3,2,0,2,0,1,0,1,5
3,1,2,2,1,1,1,2,1,2,2,1,2,0,3,1,5
1,1,0,3,1,2,3,1,3,2,2,3,2,3,2,1,5
2,1,0,2,0,0,0,3,3,2,2,2,1,1,1,0,4
3,1,0,2,3,1,2,1,3,3,3,1,1,3,3,1,5
0,1,0,2,0,0,2,3,0,0,3,3,0,2,0,2,6
2,1,0,2,0,0,0,3,0,0,2,2,1,1,3,2,6
3,0,0,0,0,1,2,2,2,3,0,2,3,3,2,0,4
3,1,3,1,3,1,0,1,0,2,2,2,3,2,2,0,4
3,1,2,2,0,3,0,3,2,2,2,1,2,2,3,2,6
2,3,0,3,0,2,1,1,2,2,2,3,3,2,3,0,4
3,2,2,2,0,3,3,3,0,3,1,0,3,3,0,2,6
0,2,3,0,3,1,1,1,2,3,1,3,3,3,0,2,6
0,1,2,3,0,0,0,3,2,1,3,2,2,1,3,2,6
0,1,2,2,0,0,0,1,3,2,0,0,1,0,1,0,4
3,1,2,2,0,0,0,1,3,2,0,2,2,0,0,0,4
3,1,2,2,0,3,0,3,2,2,2,1,2,2,3,2,6
3,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,4
2,1,3,0,1,3,2,2,3,0,2,3,3,0,3,1,5
0,1,3,2,0,0,0,1,3,3,2,2,1,0,2,2,6
0,1,2,2,0,3,2,1,2,0,2,2,1,2,3,2,6
0,1,2,3,0,0,0,2,2,3,1,2,2,1,3,2,6
0,1,2,2,0,0,0,1,1,1,1,0,1,0,0,2,6
0,1,0,1,0,2,0,1,3,2,0,3,1,1,1,0,4
3,1,0,2,0,0,0,3,1,3,0,3,1,1,3,2,6
0,1,0,3,0,0,0,1,3,2,0,2,1,0,0,0,4
2,1,0,2,0,2,3,3,0,2,2,2,1,3,2,1,5
0,2,3,2,0,0,0,1,3,2,2,2,2,0,1,0,4
2,1,3,3,0,0,0,1,2,2,3,2,3,0,2,0,4
0,1,2,2,0,0,0,1,3,2,0,2,1,0,0,0,4
3,1,0,0,0,0,0,1,3,2,1,0,2,0,2,0,4
3,1,0,0,0,0,0,1,3,2,1,0,2,0,2,0,4
2,1,0,0,0,0,3,1,3,2,2,2,2,1,1,0,4
2,3,0,0,0,2,0,1,3,2,1,2,3,1,1,0,4
0,1,0,0,1,1,3,1,2,0,2,3,1,3,0,2,6
3,1,3,2,0,2,0,3,0,3,2,2,2,2,3,2,6
3,1,2,0,3,0,2,1,0,3,3,1,3,2,0,2,6
0,1,1,0,1,2,2,1,0,2,2,3,2,3,3,1,5
0,1,0,2,0,2,2,0,3,0,3,1,0,3,3,1,5
0,1,0,2,0,0,0,1,3,2,0,2,0,0,0,0,4
